,Unnamed: 0.1,Unnamed: 0,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,location,style,house_age
0,0,0,7129300520,20141013T000000,221900.0,3,1.0,1180.0,5650,1.0,0,0,3,7,1180,0.0,1955.0,0,98178,47.5112,-122.257,1340,5650,Suburban,Contemporary,67
1,1,1,6414100192,20141209T000000,538000.0,3,2.25,2570.0,7242,,0,0,3,7,2170,400.0,,1991,98125,47.721,-122.319,1690,7639,Suburban,Ranch,71
2,2,2,5631500400,20150225T000000,180000.0,2,1.0,770.0,10000,1.0,0,0,3,6,770,0.0,1933.0,0,98028,47.7379,-122.233,2720,8062,Rural,Victorian,89
3,3,3,2487200875,20141209T000000,604000.0,4,3.0,1960.0,5000,1.0,0,0,5,7,1050,910.0,1965.0,0,98136,47.5208,-122.393,1360,5000,Urban,Colonial,57
4,4,4,1954400510,20150218T000000,510000.0,3,2.0,1680.0,8080,1.0,0,0,3,8,1680,0.0,1987.0,0,98074,47.6168,-122.045,1800,7503,Suburban,Cape Cod,35
5,5,5,7237550310,20140512T000000,1230000.0,4,4.5,5420.0,101930,1.0,0,0,3,11,3890,1530.0,2001.0,0,98053,47.6561,-122.005,4760,101930,Urban,Colonial,21
6,6,6,1321400060,20140627T000000,257500.0,3,2.25,1715.0,6819,2.0,0,0,3,7,1715,0.0,1995.0,0,98003,47.3097,-122.327,2238,6819,Urban,Ranch,27
7,7,7,2008000270,20150115T000000,291850.0,3,1.5,1060.0,9711,,0,0,3,7,1060,0.0,,0,98198,47.4095,-122.315,1650,9711,Rural,Ranch,59
8,8,8,2414600126,20150415T000000,229500.0,3,1.0,,7470,1.0,0,0,3,7,1050,730.0,1960.0,0,98146,47.5123,-122.337,1780,8113,Rural,Ranch,62
9,9,9,3793500160,20150312T000000,323000.0,3,2.5,,6560,2.0,0,0,3,7,1890,0.0,2003.0,0,98038,47.3684,-122.031,2390,7570,Urban,Ranch,19
10,10,10,1736800520,20150403T000000,662500.0,3,2.5,3560.0,9796,1.0,0,0,3,8,1860,1700.0,,0,98007,47.6007,-122.145,2210,8925,Suburban,Victorian,57
11,11,11,9212900260,20140527T000000,468000.0,2,1.0,1160.0,6000,1.0,0,0,4,7,860,300.0,1942.0,0,98115,47.69,-122.292,1330,6000,Urban,Ranch,80
12,12,12,114101516,20140528T000000,310000.0,3,1.0,1430.0,19901,1.5,0,0,4,7,1430,0.0,1927.0,0,98028,47.7558,-122.229,1780,12697,Urban,Cape Cod,95
13,13,13,6054650070,20141007T000000,400000.0,3,1.75,,9680,1.0,0,0,4,7,1370,0.0,1977.0,0,98074,47.6127,-122.045,1370,10208,Urban,Ranch,45
14,14,14,1175000570,20150312T000000,530000.0,5,2.0,1810.0,4850,1.5,0,0,3,7,1810,0.0,1900.0,0,98107,47.67,-122.394,1360,4850,Urban,Cape Cod,122
15,15,15,9297300055,20150124T000000,650000.0,4,3.0,2950.0,5000,2.0,0,3,3,9,1980,970.0,,0,98126,47.5714,-122.375,2140,4000,Suburban,Ranch,43
16,16,16,1875500060,20140731T000000,395000.0,3,2.0,1890.0,14040,2.0,0,0,3,7,1890,0.0,1994.0,0,98019,47.7277,-121.962,1890,14018,Rural,Ranch,28
17,17,17,6865200140,20140529T000000,485000.0,4,1.0,1600.0,4300,1.5,0,0,4,7,1600,0.0,1916.0,0,98103,47.6648,-122.343,1610,4300,Urban,Contemporary,106
18,18,18,16000397,20141205T000000,189000.0,2,1.0,1200.0,9850,1.0,0,0,4,7,1200,0.0,1921.0,0,98002,47.3089,-122.21,1060,5095,Rural,Ranch,101
19,19,19,7983200060,20150424T000000,230000.0,3,1.0,,9774,1.0,0,0,4,7,1250,0.0,1969.0,0,98003,47.3343,-122.306,1280,8850,Urban,Colonial,53
20,20,20,6300500875,20140514T000000,385000.0,4,1.75,1620.0,4980,1.0,0,0,4,7,860,760.0,1947.0,0,98133,47.7025,-122.341,1400,4980,Rural,Contemporary,75
21,21,21,2524049179,20140826T000000,2000000.0,3,2.75,3050.0,44867,,0,4,3,9,2330,720.0,1968.0,0,98040,47.5316,-122.233,4110,20336,Suburban,Ranch,54
22,22,22,7137970340,20140703T000000,285000.0,5,2.5,,6300,2.0,0,0,3,8,2270,0.0,1995.0,0,98092,47.3266,-122.169,2240,7005,Suburban,Cape Cod,27
